"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","57","All Endponts for QA","Secure","Claim","","","Create Claim - no farmerId",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:53 GMT 2025","58","All Endponts for QA","Admin","Create Admin","","","Create Admin - No email",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:53 GMT 2025","57","All Endponts for QA","Admin","Create Admin","","","Create Admin - Successful",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:54 GMT 2025","60","All Endponts for QA","Farmer","Register Farmer","","","Single Farmer Registration - All Fields Passed - Successful",""
"failed","Mon Jul 28 20:59:52 GMT 2025","Mon Jul 28 20:59:52 GMT 2025","151","All Endponts for QA","Admin","Authentication","","","Admin Login - Invalid credentials",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","56","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no Insurance plan",""
"failed","Mon Jul 28 20:59:52 GMT 2025","Mon Jul 28 20:59:52 GMT 2025","66","All Endponts for QA","Admin","Authentication","","","Admin Login - No ID",""
"passed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","53","All Endponts for QA","Secure","Market","","","Create  Market",""
"passed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","54","All Endponts for QA","Secure","Claim","","","Create  Claim - successful",""
"failed","Mon Jul 28 20:59:52 GMT 2025","Mon Jul 28 20:59:52 GMT 2025","60","All Endponts for QA","Admin","Authentication","","","Admin Login - Long Password",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","57","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no crop name",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","60","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - invalid InsuranceID",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","56","All Endponts for QA","Secure","Insurance","","","Create  Insurance - no farmerId",""
"failed","Mon Jul 28 20:59:54 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","56","All Endponts for QA","Secure","Insurance","","","Get Insurance - For Single Farmer",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","59","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - no InsuranceID",""
"failed","Mon Jul 28 20:59:54 GMT 2025","Mon Jul 28 20:59:54 GMT 2025","62","All Endponts for QA","Farmer","Register Farmer","","","Bulk register farmers - successful",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","59","All Endponts for QA","Secure","Insurance","","","Create  Insurance - invalid cost of production amount",""
"failed","Mon Jul 28 20:59:51 GMT 2025","Mon Jul 28 20:59:52 GMT 2025","522","All Endponts for QA","Admin","Login User Types","","","SUPER_ADMIN - Admin Login",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:53 GMT 2025","57","All Endponts for QA","Admin","Create Admin","","","Create Admin - Not Authenticated",""
"passed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","52","All Endponts for QA","Secure","Insurance","","","Create  Insurance - successful",""
"passed","Mon Jul 28 20:59:52 GMT 2025","Mon Jul 28 20:59:52 GMT 2025","66","All Endponts for QA","Admin","Authentication","","","Admin Login - No ID Password",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:53 GMT 2025","62","All Endponts for QA","Admin","Create Admin","","","Create Admin - Invalid email",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","60","All Endponts for QA","Secure","Insurance","","","Update a specific farmer Insurance - no plan",""
"failed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","56","All Endponts for QA","Secure","Claim","","","Get Claim - For Single Farmer - successul",""
"passed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","52","All Endponts for QA","Secure","Market","","","Get Market - For Single Farmer",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:53 GMT 2025","56","All Endponts for QA","Admin","Get Admins","","","Get Admin details - no authentication",""
"failed","Mon Jul 28 20:59:53 GMT 2025","Mon Jul 28 20:59:53 GMT 2025","60","All Endponts for QA","Admin","Create Admin","","","Create Admin - No role",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","56","All Endponts for QA","Secure","Insurance","","","Create  Insurance - invalid amount paid",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","59","All Endponts for QA","Secure","Insurance","","","Update a specific Insurance for a farmer - invalid YemertID",""
"failed","Mon Jul 28 20:59:54 GMT 2025","Mon Jul 28 20:59:54 GMT 2025","59","All Endponts for QA","Farmer","Register Farmer","","","Single Farmer Registration - Phone number already exists",""
"failed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","55","All Endponts for QA","Secure","Claim","","","Get Claims - All",""
"failed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","57","All Endponts for QA","Secure","Claim","","","Create Claim - no Type",""
"failed","Mon Jul 28 20:59:54 GMT 2025","Mon Jul 28 20:59:54 GMT 2025","57","All Endponts for QA","Farmer","Claims","","","Update Claims",""
"failed","Mon Jul 28 20:59:56 GMT 2025","Mon Jul 28 20:59:56 GMT 2025","57","All Endponts for QA","Secure","Claim","","","Create Claim - FarmerId does not exist",""
"failed","Mon Jul 28 20:59:52 GMT 2025","Mon Jul 28 20:59:52 GMT 2025","226","All Endponts for QA","Admin","Login User Types","","","VIEWER - Admin Login",""
"failed","Mon Jul 28 20:59:55 GMT 2025","Mon Jul 28 20:59:55 GMT 2025","58","All Endponts for QA","Secure","Insurance","","","Update a specific Insurance for a farmer - non-existent YemertID",""
"failed","Mon Jul 28 20:59:54 GMT 2025","Mon Jul 28 20:59:54 GMT 2025","54","All Endponts for QA","Secure","Insurance","","","Get Insurance - All",""
