"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195","Admin Login - Invalid credentials","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","","Admin","",""
"","97","Delete a specific claim record","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","104","Admin Login - No ID Password","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","","Admin","",""
"","274","VIEWER - Admin Login","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","98","Get Insurance - For Single Farmer","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:41 UTC 2025","Insurance","Secure","",""
"","99","Delete a specific market record","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","100","Create  Market","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","449","Get Insurance - All","All Endponts for QA","Wed Jul 23 17:24:40 UTC 2025","passed","Wed Jul 23 17:24:40 UTC 2025","Insurance","Secure","",""
"","100","Update a specific Insurance for a farmer","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:41 UTC 2025","Insurance","Secure","",""
"","442","Get Claims - All","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","97","Delete claim records for a specific farmer","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","99","Delete all market records","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","443","Get All Farmers - With pagination","All Endponts for QA","Wed Jul 23 17:24:39 UTC 2025","passed","Wed Jul 23 17:24:39 UTC 2025","","Farmer","",""
"","109","Create Admin - Not Authenticated","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","98","Delete market records for a specific farmer","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","100","Create  Claim","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","100","A request with out Request Authorization","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","failed","Wed Jul 23 17:24:44 UTC 2025","","","",""
"","108","Create Admin - No role","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","104","Get Admin details - successful","All Endponts for QA","Wed Jul 23 17:24:38 UTC 2025","failed","Wed Jul 23 17:24:38 UTC 2025","","Admin","",""
"","109","Admin Login - No ID","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","","Admin","",""
"","108","Create Admin - No email","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","111","Delete a specific insurance record Copy","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:41 UTC 2025","Insurance","Secure","",""
"","99","Update a specific claim for a farmer Copy","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","104","Delete farmer","All Endponts for QA","Wed Jul 23 17:24:40 UTC 2025","passed","Wed Jul 23 17:24:40 UTC 2025","","Farmer","",""
"","306","ADMIN - Admin Login","All Endponts for QA","Wed Jul 23 17:24:35 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","111","Create Admin - user already exists","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","105","Create Admin - Invalid email","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","101","Delete all farmers","All Endponts for QA","Wed Jul 23 17:24:40 UTC 2025","passed","Wed Jul 23 17:24:40 UTC 2025","","Farmer","",""
"","104","Admin Login - Long Password","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","99","Delete insurance records for a specific farmer Copy","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:41 UTC 2025","Insurance","Secure","",""
"","770","Get All Farmers","All Endponts for QA","Wed Jul 23 17:24:38 UTC 2025","passed","Wed Jul 23 17:24:39 UTC 2025","","Farmer","",""
"","104","Single Farmer Registration - All Fields Passed - Successful","All Endponts for QA","Wed Jul 23 17:24:38 UTC 2025","passed","Wed Jul 23 17:24:38 UTC 2025","","Farmer","",""
"","100","Update a specific market for a farmer Copy","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","107","Admin Login - Invalid ID data","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","","Admin","",""
"","99","Create  Insurance","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:41 UTC 2025","Insurance","Secure","",""
"","185","Get Market - For Single Farmer","All Endponts for QA","Wed Jul 23 17:24:43 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","269","Handle Session Requests","All Endponts for QA","Wed Jul 23 17:24:40 UTC 2025","passed","Wed Jul 23 17:24:40 UTC 2025","","USSD","",""
"","1642","SUPER_ADMIN - Admin Login","All Endponts for QA","Wed Jul 23 17:24:34 UTC 2025","failed","Wed Jul 23 17:24:35 UTC 2025","LOGIN ADMIN TYPES","Admin","",""
"","98","Delete all insurance records Copy","All Endponts for QA","Wed Jul 23 17:24:41 UTC 2025","passed","Wed Jul 23 17:24:41 UTC 2025","Insurance","Secure","",""
"","458","Get Market - All","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:43 UTC 2025","Market","Secure","",""
"","100","Single Farmer Registration - Required fields only Successful","All Endponts for QA","Wed Jul 23 17:24:38 UTC 2025","passed","Wed Jul 23 17:24:38 UTC 2025","","Farmer","",""
"","191","Admin Login - Successful","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","105","Create Admin - Successful","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:37 UTC 2025","","Admin","",""
"","270","Get Farmer by YEMERT ID","All Endponts for QA","Wed Jul 23 17:24:39 UTC 2025","passed","Wed Jul 23 17:24:39 UTC 2025","","Farmer","",""
"","116","Bulk register farmers","All Endponts for QA","Wed Jul 23 17:24:39 UTC 2025","passed","Wed Jul 23 17:24:40 UTC 2025","","Farmer","",""
"","97","Register a single Farmer","All Endponts for QA","Wed Jul 23 17:24:38 UTC 2025","passed","Wed Jul 23 17:24:38 UTC 2025","","Farmer","",""
"","105","Admin Login - Short Password","All Endponts for QA","Wed Jul 23 17:24:36 UTC 2025","failed","Wed Jul 23 17:24:36 UTC 2025","","Admin","",""
"","184","Get Claim - For Single Farmer","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","98","Delete all claim records","All Endponts for QA","Wed Jul 23 17:24:42 UTC 2025","passed","Wed Jul 23 17:24:42 UTC 2025","Claim","Secure","",""
"","101","Get Admin details - no authentication","All Endponts for QA","Wed Jul 23 17:24:37 UTC 2025","failed","Wed Jul 23 17:24:38 UTC 2025","","Admin","",""
